HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 14232	 6.38	 45.87547130	 28.26995604	  20.01	   66.87	  -20.64	  0.88	 0.306	 0.35
 14235	 7.10	 45.88338236	-10.97480777	  20.38	  -26.96	 -108.22	  1.49	 0.495	 0.57
 14237	 7.69	 45.89802248	 36.44211966	  23.21	  163.85	  -46.91	  0.86	 0.630	 0.70
 14240	 5.12	 45.90376552	-59.73761994	  23.67	  -72.81	  -63.89	  0.48	 0.349	 0.41
 14241	 8.08	 45.91151475	 -5.66565632	  28.33	  333.38	 -264.72	  1.20	 0.677	 0.75
 14249	 7.48	 45.94547433	-21.36137001	  17.52	  196.27	  -35.47	  1.16	 0.851	 0.87
 14257	 8.21	 45.95911779	-51.40976689	  14.39	   99.41	   68.05	  0.75	 0.523	 0.60
 14258	 6.92	 45.96116153	  6.13318019	  31.75	  231.78	   48.42	  0.94	 0.552	 0.62
 14265	 9.51	 45.98878086	-45.43460572	  18.18	   66.51	  105.75	  3.79	 0.787	 0.82
 14286	 6.64	 46.03645457	 61.70751562	  43.74	  721.02	 -693.41	  0.84	 0.634	 0.70
 14293	 5.26	 46.06865515	 -7.60089934	  23.22	   65.43	   17.41	  0.77	 0.193	 0.22
 14300	 7.99	 46.10465975	 50.03202064	  28.04	 -207.47	  144.48	  1.04	 0.703	 0.76
 14307	 7.56	 46.13775258	-51.32227515	  18.62	   88.21	   71.92	  0.72	 0.566	 0.64
 14311	 7.94	 46.14978312	-77.16588707	  13.98	   72.56	  -58.24	  0.71	 0.715	 0.77
 14313	 8.59	 46.15377851	-51.31869584	  18.20	   85.43	   72.24	  0.93	 0.857	 0.90
 14339	 7.89	 46.22895300	-57.16621531	  18.85	  -34.69	  -24.80	  0.63	 0.649	 0.71
 14356	 8.04	 46.30160149	 65.55175112	  15.17	  -22.54	  -21.56	  0.95	 0.557	 0.63
 14370	 8.06	 46.34651042	 32.09670904	  13.90	   32.93	  -20.79	  1.08	 0.546	 0.62
 14382	 4.77	 46.38510717	 56.70554810	  15.95	  -13.49	   70.34	  0.76	 1.018	 0.99
 14401	 9.71	 46.44213538	 45.09008840	  18.42	  235.08	 -157.04	  1.42	 0.873	 0.88
