       Wave            Flux
       3873.8552       3.6265193
       3874.7473       1.4960155
       3875.6396       1.6165736
       3876.5321      -2.6925927
       3877.4248       2.5148151
       3878.3177      -1.8148206
       3879.2109      -4.4650076
       3880.1042     -0.60226052
       3880.9978     -0.10164211
       3881.8915     0.039863036
       3882.7855     -0.36681899
       3883.6796     -0.19785394
       3884.5740     0.066997692
       3885.4686      -1.9022726
       3886.3633      -2.8789470
       3887.2583      -2.0822408
       3888.1535     -0.15769421
       3889.0489      -1.6247252
       3889.9445      -2.7335310
       3890.8403      -2.4057556
       3891.7363    -0.020270243
       3892.6326      -3.7140334
       3893.5290      -3.6565712
       3894.4256      -1.7376592
       3895.3225     -0.50130714
       3896.2195       1.5549871
       3897.1168      0.80231762
       3898.0142      -1.1538961
       3898.9119    -0.082294643
       3899.8098       1.2981241
       3900.7078       2.9612397
       3901.6061       1.6184211
       3902.5046     -0.65153744
       3903.4033       4.6759876
       3904.3022     -0.15679476
       3905.2014      -3.5671941
       3906.1007      -2.0562958
       3907.0002       1.8390087
       3907.8999      0.10635661
       3908.7999     -0.33879301
       3909.7000      -2.4555876
       3910.6004       1.8947951
       3911.5010       4.8489056
       3912.4017      0.78585636
       3913.3027      -1.7955401
       3914.2039      -2.5858382
       3915.1053      -3.1628630
       3916.0069       2.5143733
       3916.9087       2.9138761
       3917.8107    -0.068495515
       3918.7130      0.96598836
       3919.6154     -0.77521359
       3920.5180       1.1098278
       3921.4209      -3.1754245
       3922.3239      -3.5875399
       3923.2272     -0.11278342
       3924.1307      -4.4632022
       3925.0344      -1.6854535
       3925.9382      -3.6957759
       3926.8423      -4.3573394
       3927.7467      -2.8423634
       3928.6512      -7.1236888
       3929.5559      -5.4573414
       3930.4608      -6.0295587
       3931.3660      -7.2285468
       3932.2713      -8.6693447
       3933.1769      -4.8744181
       3934.0826      -5.7416340
       3934.9886      -9.3750407
       3935.8948      -5.8067443
       3936.8012      -3.3634523
       3937.7078      -1.7220057
       3938.6146      -2.4763518
       3939.5216      -1.5397745
       3940.4288      0.40907514
       3941.3363      0.20362648
       3942.2439      0.13323053
       3943.1518      -6.7879761
       3944.0598      -1.1312618
       3944.9681      -2.1968208
       3945.8766      -1.8483202
       3946.7853      -4.0732239
       3947.6942      -1.9465289
       3948.6033       1.8573863
       3949.5126     -0.74317817
       3950.4221     -0.32661626
       3951.3318      -2.0712053
       3952.2418     -0.11757567
       3953.1519       1.7966122
       3954.0623      -3.3058217
       3954.9729      -1.3997476
       3955.8837       1.3808976
       3956.7947      0.27284144
       3957.7059      -2.8230793
       3958.6173      -2.3178719
       3959.5289      -2.0186638
       3960.4407     -0.89782926
       3961.3528      -2.3005778
       3962.2650      -5.5199831
       3963.1775       1.1052596
       3964.0902      -2.7814487
       3965.0030      -5.2042466
       3965.9161      -2.6277026
       3966.8294      -1.6330959
       3967.7430      -2.7319748
       3968.6567      -4.3642572
       3969.5706      -3.7695535
       3970.4848      -4.1201917
       3971.3991      -3.9465494
       3972.3137      -3.1666784
       3973.2285      -5.9701300
       3974.1435      -8.2754202
       3975.0586      -6.9319524
       3975.9741      -4.1739199
       3976.8897      -3.2107627
       3977.8055      -3.5209246
       3978.7216     -0.91009420
       3979.6378     -0.88509967
       3980.5543      -1.8701883
       3981.4709      -2.4105813
       3982.3878      -2.7465859
       3983.3049      -2.4314267
       3984.2222      0.80312816
       3985.1398       2.3273562
       3986.0575      -3.0050864
       3986.9754      -1.3939046
       3987.8936      0.19842328
       3988.8119       2.8172528
       3989.7305       3.7325438
       3990.6493       1.8922499
       3991.5683       1.4828227
       3992.4875       1.4726326
       3993.4069     -0.94392375
       3994.3266      -1.9918247
       3995.2464       2.3566593
       3996.1665       2.8247153
       3997.0868      0.64983985
       3998.0072       1.8259825
       3998.9279       3.1989689
       3999.8488       2.5012544
       4000.7700       3.2801472
       4001.6913       1.1592239
       4002.6128      0.63613372
       4003.5346       3.6677180
       4004.4565       1.0303024
       4005.3787     -0.28999081
       4006.3011      -2.4506943
       4007.2237      -1.1552403
       4008.1465       2.2197827
       4009.0696       2.4445595
       4009.9928     -0.27719734
       4010.9163      0.52334768
       4011.8399      0.92315200
       4012.7638      -2.2366567
       4013.6879      -1.3575726
       4014.6122    -0.088441615
       4015.5367      -1.0544441
       4016.4615       3.2328469
       4017.3864      0.14714578
       4018.3116     -0.47055689
       4019.2369       3.9955089
       4020.1625       3.5643327
       4021.0883       2.3756397
       4022.0143      0.57302462
       4022.9405      -2.1037868
       4023.8670       1.4443311
       4024.7936       1.8606008
       4025.7205       1.8128847
       4026.6476      0.44952530
       4027.5748     -0.93676624
       4028.5023       1.7143740
       4029.4301      -2.0657687
       4030.3580      -1.3474954
       4031.2861     -0.79537172
       4032.2145      -2.0053758
       4033.1431      0.22663293
       4034.0718     -0.47589246
       4035.0008      -2.4868839
       4035.9301      0.12393851
       4036.8595       2.1206937
       4037.7891       1.4579282
       4038.7190   -0.0014902319
       4039.6491     -0.23975845
       4040.5793       2.2559915
       4041.5098      0.37808437
       4042.4405       1.6775990
       4043.3715       1.8527827
       4044.3026     -0.84035578
       4045.2340      0.49682951
       4046.1655       2.3555941
       4047.0973      -3.5000749
       4048.0293       2.4502170
       4048.9615       2.1805279
       4049.8940       1.9614913
       4050.8266      -2.9917880
       4051.7595       2.0424320
       4052.6925      0.99359410
       4053.6258       1.3725209
