l	fo
4802	0.87528260547
4803	0.86921298024
4804	0.86187916707
4805	0.85276330584
4806	0.84504871317
4807	0.8380956795
4808	0.83022115944
4809	0.82186685721
4810	0.8111364909
4811	0.81211890201
4812	0.82238471733
4813	0.83165289036
4814	0.84740954607
4815	0.85711180773
4816	0.86270165079
4817	0.86377544898
4818	0.86183347353
4819	0.85352486484
4820	0.84718107837
4821	0.84127899612
4822	0.83449350543
4823	0.8324601429
4824	0.83575769337
4825	0.83731888932
4826	0.83861353962
4827	0.84069259569
4828	0.83860592403
4829	0.82814210337
4830	0.82763185884
4831	0.8328409224
4832	0.84621389844
4833	0.85463674098
4834	0.86699684355
4835	0.86900735931
4836	0.86427807792
4837	0.85008261816
4838	0.84362459784
4839	0.83349586314
4840	0.8377910559
4841	0.86059974795
4842	0.87790998402
4843	0.89283654042
4844	0.90480063231
4845	0.9159270093
4846	0.92393099439
4847	0.93346571307
4848	0.94376199075
4849	0.95633532984
4850	0.96516941424
4851	0.96650214249
4852	0.97653187452
4853	0.99217429638
4854	0.9929967801
4855	1.06843681464
4856	1.18727809659
4857	1.35704482887
4858	1.5761225064
4859	1.92787137732
4860	2.00591594364
4861	1.90760629233
4862	1.75776955908
4863	1.52682679233
4864	1.14801973014
4865	0.99410865624
4866	0.98654637537
4867	0.95021239548
4868	0.9301681626
4869	0.9307774098
4870	0.92297143005
4871	0.91806699009
4872	0.91362710112
4873	0.91259899647
4874	0.90885974178
4875	0.90325466754
4876	0.89067371286
4877	0.89048332311
4878	0.90813626073
4879	0.91237052877
4880	0.90849419346
4881	0.89245576092
4882	0.88084198617
4883	0.86620482219
4884	0.85532214408
4885	0.84684599241
4886	0.84186539655
4887	0.83549876331
4888	0.82577365488
4889	0.82360321173
4890	0.82656567624
4891	0.83620701318
4892	0.84475932075
4893	0.85944217827
4894	0.86554988145
4895	0.86664652641
4896	0.86203909446
4897	0.8557638483
4898	0.84434807889
4899	0.83468389518
4900	0.82496640234
4901	0.81340593672
4902	0.8127357648
4903	0.82166123628
4904	0.82782224859
4905	0.83986249638
4906	0.84369313815
4907	0.84140846115
4908	0.82718253903
4909	0.82351944024
4910	0.82508825178
4911	0.82801263834
4912	0.83297800302
4913	0.84448515951
4914	0.84367790697
4915	0.83447065866
