z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.170318      7.830545      44.048700      -0.922366      2.665000      3.000000      1.000000      -1.409652      2.366314      -815.246726       323.972428      241.44137070      53.36966180      52055      0621      477
0.134155      7.544655      43.636500      -1.048675      2.493000      3.000000      0.930586      -1.129107      2.483077      -902.260202       309.763576      200.79311510      63.72369340      52056      0603      183
0.311279      7.950228      44.306500      -0.784249      2.723000      2.500000      0.692529      -1.850856      2.569446      -1047.633482      409.251226      227.53239930      2.77530680       52057      0590      204
0.221274      8.693820      43.968100      -1.866240      2.618000      1.500000      0.695481      -0.324860      2.646554      -911.735010       169.827960      227.75434560      4.44946030       52057      0590      417
0.037765      7.177222      42.843000      -1.474743      2.668000      1.500000      0.704195      1.810593       2.346100      -702.467024       216.519807      228.43022120      4.36203610       52057      0590      611
0.339554      8.441833      44.342700      -1.239654      2.556000      2.500000      0.726645      -1.534094      2.590818      -1341.937443      444.113076      245.81871740      45.19809000      52057      0626      355
0.209042      7.800534      43.896600      -1.044455      2.572000      3.500000      0.974399      -0.752679      2.476328      -771.492843       286.604031      174.28325760      64.87967190      52059      0597      550
0.174433      7.662235      43.827300      -0.975456      2.475000      1.000000      0.938975      -0.090690      2.467206      -1030.791973      179.574737      205.76417960      64.31887640      52079      0604      406
0.184366      7.531061      43.771600      -0.899981      2.842000      2.500000      0.935262      -0.074565      2.294438      -1061.549641      430.250505      227.42919010      56.43170480      52079      0612      253
0.164425      8.384761      43.850600      -1.674681      2.206000      2.000000      0.513363      -0.169007      2.553699      -1466.058885      561.150103      228.69404590      58.29588990      52079      0612      456
0.379131      7.959245      44.393000      -0.706766      2.347000      2.500000      0.791008      -1.234629      2.547307      -1030.522382      261.144011      317.59172760      -7.54352110      52081      0638      099
0.204194      7.917481      44.390300      -0.667702      2.769000      2.000000      0.925786      -2.476902      2.517514      -736.301774       197.012297      318.02022720      -6.59314050      52081      0638      514
0.332275      7.879935      44.218600      -0.801855      2.754000      2.500000      0.661728      -0.804387      2.636274      -1400.385490      261.909484      3.08908350        -8.90963610      52138      0652      335
0.061510      7.419993      43.400800      -1.159714      2.536000      2.000000      0.607663      -1.048665      2.474555      -761.108921       286.378715      3.39741370        -9.85579760      52138      0652      386
0.308820      8.695609      44.328600      -1.507530      3.214000      3.000000      0.691413      -1.735188      2.543538      -1339.012068      509.108044      248.93990680      48.27081630      52144      0627      551
0.168397      8.964821      44.248000      -1.857342      2.524000      2.000000      0.489883      -1.989309      2.579299      -1247.136294      473.967432      312.63454580      -7.02533570      52145      0635      038
0.338192      8.652385      44.089500      -1.703406      2.251000      2.500000      0.731226      -0.085031      2.652872      -1138.444427      235.430579      6.74235590        -9.02701880      52145      0653      576
0.040811      7.571691      43.184100      -1.528111      3.152000      1.500000      0.754050      1.094480       2.444858      -1292.789639      344.682760      23.51056890       -9.77413840      52145      0663      306
0.196393      8.219002      44.206500      -1.153022      2.625000      0.500000      0.849886      -0.117009      2.501364      -721.399200       189.654990      319.97695600      -8.24977680      52146      0639      089
0.259232      8.389295      44.286000      -1.243815      2.653000      2.000000      0.728199      -0.558056      2.476738      -834.777004       347.391502      8.33136290        10.32332840      52146      0654      143
0.217239      7.898296      43.853100      -1.185717      2.383000      3.000000      0.757215      -1.445721      2.463727      -1132.158511      464.230661      30.23415450       -9.66860110      52149      0666      217
