z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.204718      7.381119      43.506700      -1.014940      2.672000      1.000000      0.839483      0.172914       2.643884      135.79377680      1.18804930       51929      0470      413
0.139148      7.689873      43.646200      -1.184193      2.685000      2.000000      0.781159      -0.210853      2.548014      139.23001270      2.51209560       51929      0473      366
0.077675      7.882794      43.446600      -1.576714      2.455000      1.500000      0.658249      0.263894       2.540934      180.37672240      1.19421250       51930      0285      579
0.201617      8.074589      43.960700      -1.254410      2.569000      2.500000      0.873915      -1.889729      2.604342      157.34588650      65.05002970      51930      0489      223
0.223982      7.798690      43.789400      -1.149811      2.177000      1.500000      0.824069      -0.041044      2.508071      188.50022140      0.05221640       51941      0290      393
0.197847      8.818907      44.099300      -1.860128      2.671000      1.500000      0.820953      -0.267707      2.756939      138.74604380      1.44204530       51955      0472      532
0.039719      7.672644      42.878500      -1.934665      2.021000      0.500000      0.810510      1.932206       2.434512      173.48310720      67.01862680      51955      0492      273
0.165666      7.640709      43.549000      -1.232230      2.544000      2.500000      0.781578      -0.337743      2.280822      186.12249390      67.74853410      51957      0493      623
0.370489      8.016089      44.261900      -0.894710      2.607000      2.500000      0.862683      -0.427653      2.660792      152.88821440      1.24756000       51957      0502      134
0.262622      8.501537      44.098000      -1.544057      2.656000      2.500000      0.670721      -2.080257      2.665510      176.83014570      0.56408840       51959      0283      542
0.282699      8.150521      43.942500      -1.348542      2.680000      1.000000      0.454153      0.028566       2.506810      200.03883480      -0.34555680      51984      0296      196
0.364230      7.945464      44.462000      -0.623985      2.382000      2.000000      0.676713      -2.401298      2.599324      214.47376700      65.00707320      51984      0498      031
0.356680      7.934834      44.247500      -0.827855      3.112000      2.500000      0.764033      -2.172846      2.670669      212.83223480      65.47042310      51984      0498      555
0.317297      8.540128      44.305200      -1.375448      2.392000      2.000000      0.619484      -1.101225      2.676018      196.60051610      -0.12694800      51986      0294      200
0.261047      8.032688      44.044800      -1.128409      2.658000      3.000000      0.961939      -2.104548      2.647973      196.73058920      0.48644840       51986      0294      469
0.147555      8.164809      43.996100      -1.309229      3.230000      3.500000      0.765473      -1.444879      2.424644      127.82501890      45.00680120      51986      0548      056
0.346781      7.886006      44.383600      -0.642927      2.598000      0.500000      0.875759      0.048841       2.527294      194.40593770      66.70543170      51988      0495      162
0.295157      7.800250      44.032400      -0.908371      2.695000      1.500000      0.750090      0.071947       2.734309      192.93905660      67.73075130      51988      0495      430
0.255306      7.957000      44.108000      -0.989520      2.632000      2.500000      0.924321      -1.917513      2.519722      195.22936960      67.41791900      51988      0495      515
0.147799      7.402116      43.572000      -0.970636      2.352000      2.000000      0.947786      -0.091997      2.323738      201.46887800      66.08015480      51988      0496      140
