z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.335695      8.599404      44.226600      -1.513325      2.310000      4.000000      0.600781      -1.686410      2.782949      3.75986640        -9.74419460      52138      0652      478
0.204733      7.390204      43.624700      -0.906025      2.881000      3.500000      0.886574      -0.100585      2.534702      -0.57728170       11.06594250      52143      0650      088
0.155989      7.881978      43.768100      -1.254398      2.406000      2.500000      0.667080      1.051039       2.546585      310.55807200      -5.95480730      52145      0635      334
0.174786      7.882417      43.619000      -1.403938      2.334000      2.500000      0.908399      0.543035       2.568902      23.55772630       -9.05334360      52145      0663      342
0.200040      8.032714      43.980700      -1.192534      2.534000      3.500000      0.899611      0.285278       2.469273      24.68074860       -8.62795610      52145      0663      412
0.260567      8.686716      44.512200      -1.315037      3.031000      3.500000      0.980269      -1.211780      2.546794      320.34960210      -8.21970400      52146      0639      008
0.245042      8.080590      44.044300      -1.176811      2.387000      2.500000      0.858889      0.066366       2.654671      319.11213220      -7.87914960      52146      0639      258
0.151763      7.670673      43.611800      -1.199394      2.510000      2.500000      0.819991      0.548838       2.515889      319.34497690      -6.43616000      52146      0639      414
0.126069      7.961354      43.465800      -1.636075      2.235000      3.000000      0.688880      0.699545       2.559066      -22.59764440      10.42023180      52147      0662      297
0.163717      8.098710      43.589100      -1.650131      2.787000      3.000000      0.913010      0.115484       2.629809      21.86531020       -8.81307590      52147      0662      324
0.175273      7.667019      43.574600      -1.232940      2.246000      3.000000      0.578098      0.009184       2.485482      11.62125480       -8.97999970      52148      0656      454
0.256321      7.967498      44.057400      -1.050618      3.308000      4.000000      0.629947      -1.669707      2.585013      -33.81966070      10.00186340      52163      0667      019
0.221802      8.039448      43.872600      -1.307369      2.955000      4.000000      0.826059      -1.019353      2.485142      32.44303770       -8.56378780      52163      0667      497
0.130295      7.806234      43.395700      -1.551055      2.341000      1.500000      0.391153      2.707652       2.488376      310.08867300      -6.58121970      52164      0634      051
0.207789      7.610719      43.927700      -0.823539      3.064000      3.000000      0.945580      -0.729945      2.485643      28.11400910       -9.88040330      52168      0665      211
0.220267      7.709512      43.758800      -1.091232      2.841000      4.000000      0.366978      -0.685213      2.490334      328.35786590      -7.41063660      52173      0644      592
0.357825      7.988286      44.444500      -0.684306      2.272000      3.000000      0.692350      -1.254838      2.668062      315.54797160      -6.77919830      52174      0637      152
0.238884      8.079489      44.174100      -1.045910      3.120000      4.000000      0.787132      -0.903765      2.642992      26.04700630       -8.21705780      52174      0664      327
0.054857      7.100018      42.986800      -1.253739      3.105000      3.500000      0.678541      0.390528       2.392610      -12.85739070      10.44570370      52177      0657      270
0.269965      8.290874      44.028100      -1.403295      3.035000      2.500000      0.782095      0.058267       2.724016      46.93271770       -0.36782540      52258      0412      269
0.095505      7.480790      43.433500      -1.187810      2.523000      3.500000      0.919093      0.086794       2.436866      170.05718650      60.81964610      52295      0775      139
0.086359      7.400061      43.198500      -1.342082      2.132000      1.500000      0.465816      2.338095       2.525811      132.08699540      40.45631120      52296      0829      520
0.148175      7.884088      43.749500      -1.275109      2.478000      2.000000      0.726397      1.752919       2.524899      156.65582720      1.45772000       52316      0504      140
0.047693      7.485041      43.171700      -1.453862      2.988000      2.500000      0.866549      1.810774       2.598205      176.13775130      61.53356550      52319      0776      065
0.148612      8.137423      43.673800      -1.604144      1.363000      1.500000      0.911103      2.268845       2.461764      207.81553390      61.27560860      52319      0786      560
0.210928      8.471599      43.748200      -1.863919      2.422000      3.500000      0.666365      -0.627032      2.671841      129.61042530      37.31850050      52320      0864      335
0.157763      7.770929      43.689300      -1.222150      2.217000      1.500000      0.741365      2.565230       2.611180      168.22482610      3.64226480       52326      0835      242
0.124154      7.733268      43.415300      -1.458489      1.638000      1.500000      0.613437      2.831122       2.975588      197.49553540      3.94763650       52338      0850      211
0.104875      7.787198      43.733200      -1.194518      2.996000      3.000000      0.818503      0.364654       2.592698      166.83554310      50.49315340      52353      0877      109
