# Matter power spectrum P(k) at redshift z=1
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.730697534224e-02       4.249499186456e+03 
       5.822544184811e-02       4.204876763850e+03 
       5.923092511134e-02       4.157749101348e+03 
       6.033797923528e-02       4.106980971376e+03 
       6.156371593776e-02       4.051866308876e+03 
       6.292780625486e-02       3.991099579625e+03 
       6.445197707174e-02       3.922969104141e+03 
       6.615860368697e-02       3.845411159731e+03 
       6.806796606510e-02       3.755873835180e+03 
       7.019404110131e-02       3.651613511443e+03 
       7.253961323704e-02       3.530303627460e+03 
       7.509278884846e-02       3.390867557539e+03 
       7.782744545750e-02       3.234320986256e+03 
       8.070834073462e-02       3.064271812935e+03 
       8.369850861787e-02       2.886443006518e+03 
       8.676533509153e-02       2.707692992447e+03 
       8.988341099316e-02       2.535138725835e+03 
       9.303459742784e-02       2.374518049814e+03 
       9.620668979996e-02       2.230124132169e+03 
       9.939178833790e-02       2.104439958897e+03 
       1.025849043454e-01       1.998121339028e+03 
       1.057829356857e-01       1.910340666117e+03 
       1.089839715757e-01       1.839017601035e+03 
       1.121868418082e-01       1.781092979343e+03 
       1.153908321555e-01       1.733172623421e+03 
       1.185955075215e-01       1.691533187352e+03 
       1.218006030900e-01       1.652635545363e+03 
       1.250059577098e-01       1.613376028753e+03 
       1.282114732662e-01       1.571352022804e+03 
       1.314170899543e-01       1.525037351774e+03 
       1.346227712481e-01       1.473870970413e+03 
       1.378284947693e-01       1.418163545725e+03 
       1.410342467426e-01       1.358986414741e+03 
       1.442400186290e-01       1.297928705643e+03 
       1.474458050812e-01       1.236838405767e+03 
       1.506516027019e-01       1.177566747706e+03 
       1.538574092887e-01       1.121728846407e+03 
       1.570632233756e-01       1.070666884679e+03 
       1.602690439531e-01       1.025202074458e+03 
       1.634748702978e-01       9.856610865597e+02 
       1.666807018681e-01       9.519669961171e+02 
       1.698865382403e-01       9.236240508446e+02 
       1.730923790691e-01       8.998380535943e+02 
       1.762982240628e-01       8.796102354922e+02 
       1.795040729681e-01       8.618059746368e+02 
       1.827099255602e-01       8.454159493136e+02 
       1.859157816363e-01       8.294693044919e+02 
       1.891216410114e-01       8.129427025830e+02 
       1.923275035154e-01       7.951756400550e+02 
       1.955333689907e-01       7.757964885203e+02 
       1.987392372909e-01       7.547440849308e+02 
       2.019451082797e-01       7.322292657596e+02 
       2.051509818295e-01       7.086912905148e+02 
       2.083568578208e-01       6.847082803898e+02 
       2.115627361416e-01       6.608691172478e+02 
       2.147686166867e-01       6.377324165072e+02 
       2.179744993572e-01       6.158197879467e+02 
       2.211803840600e-01       5.954270389719e+02 
       2.243862707073e-01       5.768361690580e+02 
       2.275921592163e-01       5.601161674362e+02 
       2.307980495089e-01       5.452857773500e+02 
       2.340039415114e-01       5.321995147717e+02 
       2.372098351538e-01       5.206456619355e+02 
       2.404157303703e-01       5.103120881510e+02 
       2.436216270981e-01       5.008312891282e+02 
       2.468275252781e-01       4.918789714140e+02 
       2.500334248541e-01       4.830948833446e+02 
       2.532393257727e-01       4.741906240413e+02 
       2.564452279831e-01       4.650229383150e+02 
       2.596511314374e-01       4.554497178446e+02 
       2.628570360896e-01       4.454488586100e+02 
       2.660629418963e-01       4.350575823865e+02 
       2.692688488160e-01       4.243741238798e+02 
       2.724747568091e-01       4.135341459158e+02 
       2.756806658379e-01       4.027268490048e+02 
       2.788865758666e-01       3.921154302891e+02 
       2.820924868609e-01       3.819028558027e+02 
       2.852983987880e-01       3.722173431532e+02 
       2.885043116167e-01       3.631634831734e+02 
       2.917102253170e-01       3.547910050793e+02 
       2.949161398605e-01       3.470798931916e+02 
       2.981220552197e-01       3.399939296549e+02 
       3.013279713685e-01       3.334415253970e+02 
       3.045338882818e-01       3.273529361485e+02 
       3.077398059356e-01       3.216221794286e+02 
       3.109457243069e-01       3.161271663830e+02 
       3.141516433736e-01       3.107732472067e+02 
       3.173575631145e-01       3.054788347090e+02 
       3.205634835093e-01       3.001607994603e+02 
       3.237694045384e-01       2.947709983455e+02 
       3.269753261832e-01       2.892933917665e+02 
       3.301812484256e-01       2.837294477648e+02 
       3.333871712482e-01       2.781125015685e+02 
       3.365930946345e-01       2.724883652498e+02 
       3.397990185684e-01       2.669094436229e+02 
       3.430049430344e-01       2.614239330805e+02 
       3.462108680178e-01       2.560785213686e+02 
       3.494167935041e-01       2.509190202872e+02 
       3.526227194797e-01       2.459803613965e+02 
       3.558286459312e-01       2.412626247671e+02 
       3.590345728459e-01       2.368070923526e+02 
       3.622405002114e-01       2.325777527112e+02 
