# Matter power spectrum P(k) at redshift z=0
# for k=1.05097e-05 to 5.16735 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.893167283429e-01       5.217237350698e+02 
       3.925732523578e-01       5.136552217552e+02 
       3.958297767281e-01       5.056114722030e+02 
       3.990863014452e-01       4.975503060649e+02 
       4.023428265006e-01       4.894753122439e+02 
       4.055993518861e-01       4.813610235250e+02 
       4.088558775937e-01       4.732475246170e+02 
       4.121124036159e-01       4.651646777029e+02 
       4.153689299451e-01       4.572013250851e+02 
       4.186254565743e-01       4.493986117857e+02 
       4.218819834963e-01       4.417765110732e+02 
       4.251385107045e-01       4.343706875475e+02 
       4.283950381924e-01       4.271973903550e+02 
       4.316515659535e-01       4.202790878947e+02 
       4.349080939817e-01       4.136123963997e+02 
       4.381646222710e-01       4.072105233047e+02 
       4.414211508157e-01       4.010645057701e+02 
       4.446776796100e-01       3.951397659797e+02 
       4.479342086486e-01       3.894169340772e+02 
       4.511907379261e-01       3.838487483963e+02 
       4.544472674373e-01       3.784100078372e+02 
       4.577037971773e-01       3.730524033018e+02 
       4.609603271412e-01       3.677804361651e+02 
       4.642168573243e-01       3.625802679934e+02 
       4.674733877219e-01       3.574075943516e+02 
       4.707299183296e-01       3.522873285896e+02 
       4.739864491431e-01       3.471926768669e+02 
       4.772429801581e-01       3.421545027693e+02 
       4.804995113706e-01       3.371573370020e+02 
       4.837560427764e-01       3.322068316094e+02 
       4.870125743718e-01       3.273605421024e+02 
       4.902691061529e-01       3.226105257426e+02 
       4.935256381161e-01       3.179726256491e+02 
       4.967821702577e-01       3.134554571695e+02 
       5.000387025742e-01       3.090620208871e+02 
       5.032952350623e-01       3.047963750428e+02 
       5.065517677187e-01       3.006501192239e+02 
       5.098083005400e-01       2.966123360274e+02 
       5.130648335232e-01       2.926697383517e+02 
       5.163213666651e-01       2.888326023964e+02 
       5.195778999629e-01       2.850829341669e+02 
       5.228344334134e-01       2.814047815542e+02 
       5.260909670140e-01       2.777871691106e+02 
       5.293475007619e-01       2.742195038272e+02 
       5.326040346542e-01       2.706931077377e+02 
       5.358605686884e-01       2.672076510940e+02 
       5.391171028620e-01       2.637623574192e+02 
       5.423736371723e-01       2.603612320434e+02 
       5.456301716170e-01       2.570088478911e+02 
       5.488867061935e-01       2.537068547308e+02 
       5.521432408997e-01       2.504571621776e+02 
       5.553997757332e-01       2.472606163024e+02 
       5.586563106917e-01       2.441244706542e+02 
       5.619128457732e-01       2.410405163650e+02 
       5.651693809753e-01       2.380134884371e+02 
       5.684259162962e-01       2.350560755692e+02 
       5.953765114592e-01       2.127361351060e+02 
       6.257188705497e-01       1.908846645323e+02 
       6.606204704796e-01       1.694571578655e+02 
       7.019566978377e-01       1.481912185259e+02 
       7.529587405454e-01       1.267889639935e+02 
       8.196796429231e-01       1.047887505246e+02 
       9.144651436458e-01       8.176427189421e+01 
       1.062852695360e+00       5.789009958414e+01 
       1.301278486651e+00       3.610287999929e+01 
       1.634134860465e+00       2.102351466836e+01 
       2.057160694410e+00       1.206143159941e+01 
       2.589811445342e+00       6.861378097763e+00 
       3.260379440005e+00       3.874351386180e+00 
       4.104574529114e+00       2.172872404437e+00 
       5.167353179304e+00       1.211062627640e+00 
