 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
113    SSTSL2 J224844.89-443201.9      22h48m44.8440s    -44d32m02.004s    342.18685    -44.53389    IrS       103728.190468    0.3460
114    ABELL S1063:[KCC2017] NE-099a   22h48m44.1072s    -44d31m16.392s    342.18378    -44.52122    G_Lens   1570013.102546    5.2370
115    ABELL S1063:[KCC2017] NE-048    22h48m45.6024s    -44d32m04.200s    342.19001    -44.53450    IrS       104027.982926    0.3470
116    ABELL S1063:[JSB2014] 15.2      22h48m46.2100s    -44d32m03.908s    342.19254    -44.53441    G_Lens    917364.921480    3.0600
117    [IKO2018] HFF5C-4509-1101       22h48m45.0984s    -44d31m10.142s    342.18791    -44.51948    G        1738796.256400    5.8000
118    SSTSL2 J224845.37-443109.3      22h48m45.3648s    -44d31m09.228s    342.18902    -44.51923    IrS       102738.875356    0.3427
119    RXC J2248.7-4431:[MSG2014] 12c  22h48m43.8672s    -44d31m17.472s    342.18278    -44.52152    G_Lens    917364.921480    3.0600
120    [IKO2018] HFF5C-4316-1323       22h48m43.1589s    -44d31m32.390s    342.17982    -44.52566    G        2458298.155600    8.2000
121    ABELL S1063:[KIS2018] 64.1      22h48m47.3748s    -44d31m59.325s    342.19739    -44.53314    G_Lens    575601.519360    1.9200
122    SSTSL2 J224848.30-443126.3      22h48m48.3000s    -44d31m26.544s    342.20125    -44.52404    IrS       103518.335747    0.3453
123    SSTSL2 J224844.20-443113.1      22h48m44.2056s    -44d31m13.080s    342.18419    -44.52030    IrS       101509.726278    0.3386
124    ABELL S1063:[KCC2017] NE-068    22h48m43.1064s    -44d31m42.888s    342.17961    -44.52858    G         105227.152758    0.3510
125    SSTSL2 J224843.06-443140.6      22h48m43.0488s    -44d31m40.512s    342.17937    -44.52792    IrS        98182.029995    0.3275
126    ABELL S1063:[KCC2017] SW-077    22h48m44.4792s    -44d32m02.832s    342.18533    -44.53412    G         105886.696165    0.3532
127    SSTSL2 J224843.94-443159.0      22h48m43.9368s    -44d31m59.052s    342.18307    -44.53307    IrS       104927.360300    0.3500
128    ABELL S1063:[KCC2017] NE-041    22h48m45.8952s    -44d32m06.468s    342.19123    -44.53513    G         103548.314993    0.3454
129    ABELL S1063:[KCC2017] NE-094a   22h48m45.4440s    -44d31m07.356s    342.18935    -44.51871    G_Lens    985028.079250    3.2857
130    ABELL S1063:[DBW2016] 31.1      22h48m47.6550s    -44d31m14.900s    342.19856    -44.52080    G_Lens    929356.619800    3.1000
131    ABELL S1063:[KCC2017] NE-056    22h48m47.1744s    -44d31m11.064s    342.19656    -44.51974    IrS       104327.775384    0.3480
132    SSTSL2 J224844.58-443204.4      22h48m44.5896s    -44d32m04.344s    342.18579    -44.53454    IrS       100430.473430    0.3350
133    ABELL S1063:[KCC2017] NE-077    22h48m42.9864s    -44d31m43.176s    342.17911    -44.52866    IrS       105916.675411    0.3533
134    ABELL S1063:[KIS2018] 04.3      22h48m43.5976s    -44d31m16.986s    342.18165    -44.52138    G_Lens    377138.912164    1.2580
135    ABELL S1063:[DBW2016] 31.2      22h48m47.3530s    -44d31m11.170s    342.19730    -44.51976    G_Lens    732452.933385    2.4432
136    ABELL S1063:[KCC2017] NE-058    22h48m46.8672s    -44d32m05.388s    342.19528    -44.53483    G         104477.671613    0.3485
137    ABELL S1063:[KCC2017] NE-070    22h48m46.8816s    -44d32m05.640s    342.19534    -44.53490    G         105347.069741    0.3514
138    WISEA J224846.39-443104.2       22h48m46.4784s    -44d31m06.600s    342.19366    -44.51850    IrS       102588.979127    0.3422
139    ABELL S1063:[KCC2017] NE-093a   22h48m43.8792s    -44d31m13.008s    342.18283    -44.52028    G_Lens    950042.299402    3.169
140    SSTSL2 J224842.95-443129.1      22h48m42.9384s    -44d31m28.992s    342.17891    -44.52472    IrS       105377.048987    0.3515
141    ABELL S1063:[KCC2017] NE-083    22h48m48.7104s    -44d31m37.776s    342.20296    -44.52716    G         131369.055095    0.4382
142    ABELL S1063:[KCC2017] NE-098b   22h48m45.8040s    -44d32m08.376s    342.19085    -44.53566    G_Lens   1514251.705358    5.0510
143    ABELL S1063:[DBW2016] 47.1      22h48m46.3320s    -44d32m07.910s    342.19305    -44.53553    G_Lens    869398.128200    2.9000
144    ABELL S1063:[KCC2017] NE-019    22h48m43.1040s    -44d31m23.052s    342.17960    -44.52307    G         101629.643262    0.3390
145    SSTSL2 J224843.09-443123.3      22h48m43.0104s    -44d31m24.924s    342.17921    -44.52359    G_Lens    332769.628380    1.1100
146    ABELL S1063:[DBW2016] 50.2      22h48m43.4450s    -44d31m56.720s    342.18102    -44.53242    G_Lens    465337.853307    1.5522
147    ABELL S1063:[DBW2016] 45.3      22h48m43.9440s    -44d31m11.600s    342.18310    -44.51988    G_Lens    813906.544224    2.7149
148    SSTSL2 J224844.87-443207.5      22h48m44.8656s    -44d32m07.296s    342.18694    -44.53536    IrS       101329.850804    0.3380
149    ABELL S1063:[DBW2016] 22.2      22h48m48.1160s    -44d31m16.420s    342.20048    -44.52122    G_Lens    899377.374000    3.0000
150    ABELL S1063:[DBW2016] 22.3      22h48m48.4230s    -44d31m21.090s    342.20176    -44.52252    G_Lens    899377.374000    3.0000
151    RXC J2248.7-4431:[MSG2014] 05c  22h48m42.9336s    -44d31m24.996s    342.17889    -44.52361    G_Lens    434699.064100    1.4500
152    WISEA J224844.49-443106.7       22h48m44.4936s    -44d31m07.104s    342.18539    -44.51864    IrS       103128.605552    0.3440
153    ABELL S1063:[DBW2016] 46.3      22h48m42.8170s    -44d31m27.940s    342.17840    -44.52442    G_Lens    381066.193363    1.2711
154    ABELL S1063:[DBW2016] 22.1      22h48m47.7100s    -44d31m10.640s    342.19879    -44.51962    G_Lens    899377.374000    3.0000
155    ABELL S1063:[KCC2017] NE-029    22h48m45.2256s    -44d31m03.900s    342.18844    -44.51775    G         102738.875356    0.3427
156    ABELL S1063:[DBW2016] 44.3      22h48m43.5610s    -44d31m12.930s    342.18150    -44.52025    G_Lens    892182.355008    2.9760
157    ABELL S1063:[DBW2016] 49.3      22h48m42.7070s    -44d31m28.620s    342.17794    -44.52461    G_Lens    359750.949600    1.2000
158    ABELL S1063:[KCC2017] NE-086    22h48m48.8568s    -44d31m29.856s    342.20357    -44.52496    G         211293.724398    0.7048
159    SSTSL2 J224843.15-443117.5      22h48m43.1688s    -44d31m17.565s    342.17987    -44.52154    G_Lens    377438.704622    1.2590
160    ABELL S1063:[KIS2018] 62.2      22h48m45.2304s    -44d32m10.226s    342.18846    -44.53617    G_Lens   1831132.333464    6.1080
161    [IKO2018] HFF5C-4260-1364       22h48m42.6000s    -44d31m36.400s    342.17750    -44.52677    G        1756783.803880    5.8600
162    ABELL S1063:[DBW2016] 51.3      22h48m43.9590s    -44d31m08.700s    342.18316    -44.51908    G_Lens    569605.670200    1.9000
163    SSTSL2 J224842.70-443126.6      22h48m42.7056s    -44d31m26.652s    342.17794    -44.52407    IrS       103848.107451    0.3464
164    ABELL S1063:[KCG2015] 53c       22h48m44.1768s    -44d32m07.152s    342.18407    -44.53532    G_Lens   1876700.787080    6.2600
165    SSTSL2 J224848.33-443114.9      22h48m48.2928s    -44d31m14.412s    342.20122    -44.52067    IrS       103698.211222    0.3459
166    SSTSL2 J224849.00-443130.9      22h48m49.0080s    -44d31m30.828s    342.20420    -44.52523    IrS       105017.298037    0.3503
167    SSTSL2 J224842.52-443130.4      22h48m42.5376s    -44d31m30.072s    342.17724    -44.52502    IrS       103308.481026    0.3446
168    ABELL S1063:[JSB2014] 05.3      22h48m46.3608s    -44d32m11.508s    342.19317    -44.53653    G_Lens    418810.063826    1.3970
169    ABELL S1063:[DBW2016] 45.1      22h48m47.7330s    -44d32m05.160s    342.19888    -44.53476    G_Lens    812437.561180    2.7100
170    ABELL S1063:[DBW2016] 46.1      22h48m46.0070s    -44d32m12.080s    342.19169    -44.53668    G_Lens    383734.346240    1.2800
171    SSTSL2 J224846.31-443211.7      22h48m46.3056s    -44d32m11.724s    342.19294    -44.53659    G_Lens    410715.667460    1.3700
172    [IKO2018] HFF5C-4877-1209       22h48m48.7704s    -44d31m20.913s    342.20321    -44.52247    G        1846721.541280    6.1600
173    ABELL S1063:[DBW2016] 49.1      22h48m46.0610s    -44d32m12.560s    342.19192    -44.53682    G_Lens    368744.723340    1.2300
174    SSTSL2 J224845.43-443212.5      22h48m45.4560s    -44d32m12.804s    342.18940    -44.53689    IrS       103128.605552    0.3440
175    ABELL S1063:[KCC2017] NE-081    22h48m49.0608s    -44d31m28.524s    342.20442    -44.52459    G         113891.154794    0.3799
176    [BIV2022] AS1063I-8476432071    22h48m47.6500s    -44d32m07.119s    342.19854    -44.53531    G        1654854.368160    5.5200
177    ABELL S1063:[DBW2016] 26.2      22h48m48.9800s    -44d31m24.660s    342.20408    -44.52351    G_Lens    899377.374000    3.0000
178    SSTSL2 J224842.97-443158.1      22h48m42.9672s    -44d31m57.936s    342.17903    -44.53276    IrS       104627.567842    0.3490
179    ABELL S1063:[KCC2017] NE-064    22h48m49.2192s    -44d31m33.276s    342.20508    -44.52591    G         104777.464071    0.3495
180    SSTSL2 J224844.25-443210.3      22h48m44.2464s    -44d32m10.212s    342.18436    -44.53617    IrS       106126.530132    0.3540
181    SSTSL2 J224843.43-443204.3      22h48m43.4496s    -44d32m04.560s    342.18104    -44.53460    G        1830832.541006    6.1070
182    ABELL S1063:[KCC2017] NE-031    22h48m45.6456s    -44d30m59.472s    342.19019    -44.51652    G         102768.854602    0.3428
183    ABELL S1063:[DBW2016] 44.1      22h48m47.6070s    -44d32m08.710s    342.19836    -44.53575    G_Lens    892182.355008    2.9760
184    [BVR2013] J224845.81-443214.8   22h48m45.8100s    -44d32m14.800s    342.19087    -44.53744    G        1805949.766992    6.0240
185    ABELL S1063:[DBW2016] 26.1      22h48m49.2430s    -44d31m28.990s    342.20517    -44.52471    G_Lens    899377.374000    3.0000
186    SSTSL2 J224845.78-443215.1      22h48m45.8136s    -44d32m14.856s    342.19089    -44.53746    G        1830832.541006    6.1070
187    SSTSL2 J224842.70-443156.6      22h48m42.7032s    -44d31m56.604s    342.17793    -44.53239    IrS       105227.152758    0.3510
188    ABELL S1063:[KCC2017] NE-082    22h48m46.8936s    -44d31m00.336s    342.19539    -44.51676    IrS       118118.228452    0.3940
189    [STB2016] Anc 00253             22h48m46.4858s    -44d30m59.121s    342.19369    -44.51642    G        2398339.664000    8.0000
190    RXC J2248:[BZC2014] 0619        22h48m42.3310s    -44d31m24.920s    342.17637    -44.52358    G        1768775.502200    5.9000
191    [IKO2018] HFF5C-4213-1414       22h48m42.1322s    -44d31m41.469s    342.17555    -44.52818    G        1798754.748000    6.0000
192    SSTSL2 J224845.29-443216.6      22h48m45.2880s    -44d32m16.368s    342.18870    -44.53788    IrS       183173.191838    0.6110
193    ABELL S1063:[KIS2018] 70.3      22h48m46.9660s    -44d32m14.748s    342.19569    -44.53743    G_Lens   1113129.396554    3.7130
194    SSTSL2 J224849.12-443118.1      22h48m49.0840s    -44d31m18.060s    342.20450    -44.52168    G         106935.969768    0.3567
195    SSTSL2 J224849.39-443124.0      22h48m49.3632s    -44d31m23.700s    342.20568    -44.52325    IrS       131488.972078    0.4386
196    [STB2016] Anc 00220             22h48m46.1758s    -44d30m56.388s    342.19239    -44.51566    G        1948650.977000    6.5000
197    ABELL S1063:[DBW2016] 14.2.b    22h48m45.0850s    -44d32m16.950s    342.18785    -44.53804    G_Lens    938110.559573    3.1292
198    ABELL S1063:[KIS2018] 03.3      22h48m42.8709s    -44d31m10.286s    342.17862    -44.51952    G_Lens    599315.102787    1.9991
199    ABELL S1063:[DBW2016] 50.3      22h48m42.1550s    -44d31m23.480s    342.17564    -44.52318    G_Lens    465337.853307    1.5522
200    ABELL S1063:[CKR2016] A2        22h48m45.0650s    -44d32m17.810s    342.18777    -44.53828    G_Lens    947973.731441    3.1621
201    ABELL S1063:[KCG2015] 60        22h48m43.1832s    -44d32m08.160s    342.17993    -44.53560    G         929356.619800    3.1000
