

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
169|APMUKS(BJ) B003536.71-084657.6|  9.53688 |  -8.50781 |G|||||1|0|1|1|0|0|0
170|ABELL 0085:[SDG98] 0160|  9.53721 |  -9.98369 |G|||||1|0|0|0|0|0|0
171|ABELL 0085:[SDG98] 0161|  9.53792 |  -9.76494 |G|||||1|0|0|0|0|0|0
172|APMUKS(BJ) B003537.33-083730.3|  9.53967 |  -8.35025 |G|||||1|0|1|1|0|0|0
173|ABELL 0085:[SDG98] 0163|  9.54308 |  -9.20628 |G|||||1|0|0|0|0|0|0
174|ABELL 0085:[SDG98] 0164|  9.54412 |  -9.19050 |G|||||1|0|0|0|0|0|0
175|ABELL 0085:[SDG98] 0165|  9.54483 |  -9.37378 |G|||||1|0|0|0|0|0|0
176|ABELL 0085:[SDG98] 0166|  9.54675 |  -8.55556 |G|||||1|0|0|0|0|0|0
177|6dF J0038113-084230|  9.54712 |  -8.70822 |G| 16173| 0.053946 |    ||1|0|1|1|0|0|1
178|APMUKS(BJ) B003539.23-090357.9|  9.54712 |  -8.79125 |G|||||1|0|1|1|0|0|0
179|ABELL 0085:[SDG98] 0169|  9.54817 |  -9.96719 |G|||||1|0|0|0|0|0|0
180|2MASX J00381158-0917256|  9.54834 |  -9.29036 |G| 37116| 0.123807 |    ||1|0|30|2|2|6|0
181|APMUKS(BJ) B003539.62-085425.3|  9.54892 |  -8.63211 |G|||||1|0|1|1|0|0|0
182|APMUKS(BJ) B003540.07-102659.7|  9.54963 | -10.17514 |G|||||1|0|1|1|0|0|0
183|ABELL 0085:[SDG98] 0173|  9.55000 |  -9.86172 |G|||||1|0|0|0|0|0|0
184|ABELL 0085:[SDG98] 0174|  9.55025 |  -9.84597 |G|||||1|0|0|0|0|0|0
185|2MASX J00381218-0906216|  9.55075 |  -9.10591 |G| 65206| 0.217505 |    ||1|0|29|2|1|6|0
186|ABELL 0085:[SDG98] 0176|  9.55146 |  -9.26328 |G|||||1|0|0|0|0|0|0
187|APMUKS(BJ) B003540.87-101251.7|  9.55304 |  -9.93969 |G|||||1|0|1|1|0|0|0
188|SDSS J003812.74-091618.1|  9.55309 |  -9.27171 |G| 36918| 0.123145 |    ||1|0|21|2|2|4|0
189|APMUKS(BJ) B003540.84-093942.3|  9.55346 |  -9.38692 |G|||||1|0|1|1|0|0|0
190|APMUKS(BJ) B003540.74-084119.9|  9.55371 |  -8.41408 |G|||||1|0|1|1|0|0|0
191|ABELL 0085:[SDG98] 0181|  9.55429 | -10.28744 |G|||||1|0|0|0|0|0|0
192|ABELL 0085:[SDG98] 0182|  9.55475 |  -9.96678 |G|||||1|0|0|0|0|0|0
193|ABELL 0085:[SDG98] 0183|  9.55483 |  -9.63747 |G|||||1|0|0|0|0|0|0
194|APMUKS(BJ) B003541.58-095021.7|  9.55629 |  -9.56444 |G|||||1|0|1|1|0|0|0
195|APMUKS(BJ) B003541.70-093116.2|  9.55704 |  -9.24633 |G|||||1|0|1|1|0|0|0
196|ABELL 0085:[SDG98] 0186|  9.55767 |  -9.25542 |G|||||1|0|0|0|0|0|0
197|APMUKS(BJ) B003541.83-085627.4|  9.55813 |  -8.66617 |G|||||1|0|1|1|0|0|0
198|ABELL 0085:[SDG98] 0188|  9.55813 |  -9.10703 |G|||||1|0|0|0|0|0|0
199|SDSS J003813.99-091332.9|  9.55830 |  -9.22583 |G| 65055| 0.216999 |    ||1|0|21|2|2|4|0
200|APMUKS(BJ) B003541.85-084134.5|  9.55833 |  -8.41808 |G|||||1|0|1|1|0|0|0
201|APMUKS(BJ) B003542.03-094755.6|  9.55833 |  -9.52392 |G|||||1|0|1|1|0|0|0
202|APMUKS(BJ) B003542.29-100522.7|  9.55917 |  -9.81486 |G|||||1|0|1|1|0|0|0
203|ABELL 0085:[SDG98] 0193|  9.56062 |  -9.58958 |G|||||1|0|0|0|0|0|0
204|2MASX J00381461-0839486|  9.56087 |  -8.66361 |G|||||1|0|10|1|0|2|0
205|SDSS J003814.73-090444.2|  9.56141 |  -9.07897 |G| 63425| 0.211564 |    ||1|0|21|2|1|4|0
206|APMUKS(BJ) B003542.96-095911.0|  9.56188 |  -9.71147 |G|||||1|0|1|1|0|0|0
207|ABELL 0085:[SDG98] 0197|  9.56250 |  -9.59447 |G|||||1|0|0|0|0|0|0
208|ABELL 0085:[SDG98] 0198|  9.56250 |  -9.80578 |G|||||1|0|0|0|0|0|0
209|APMUKS(BJ) B003543.17-101556.6|  9.56271 |  -9.99100 |G|||||1|0|1|1|0|0|0
210|ABELL 0085:[SDG98] 0200|  9.56308 |  -9.59964 |G|||||1|0|0|0|0|0|0
211|ABELL 0085:[SDG98] 0201|  9.56312 |  -9.27078 |G|||||1|0|0|0|0|0|0
212|APMUKS(BJ) B003543.15-085933.9|  9.56342 |  -8.71803 |G|||||1|0|1|1|0|0|0
213|ABELL 0085:[SDG98] 0203|  9.56363 |  -9.52942 |G|||||1|0|0|0|0|0|0
214|2MASX J00381550-0943486|  9.56468 |  -9.73012 |G| 17256| 0.057560 |    ||1|0|30|2|2|6|0
215|ABELL 0085:[SDG98] 0205|  9.56488 |  -8.91756 |G|||||1|0|0|0|0|0|0
216|APMUKS(BJ) B003544.02-100955.7|  9.56629 |  -9.89086 |G|||||1|0|1|1|0|0|0
217|APMUKS(BJ) B003544.02-094812.9|  9.56654 |  -9.52864 |G|||||1|0|1|1|0|0|0
218|APMUKS(BJ) B003544.01-085440.6|  9.56717 |  -8.63636 |G|||||1|0|1|1|0|0|0
219|ABELL 0085:[SDG98] 0209|  9.56746 |  -9.20042 |G|||||1|0|0|0|0|0|0
220|APMUKS(BJ) B003544.75-100424.9|  9.56942 |  -9.79869 |G|||||1|0|1|1|0|0|0
221|APMUKS(BJ) B003544.54-083542.3|  9.56963 |  -8.32028 |G|||||1|0|1|1|0|0|0
222|APMUKS(BJ) B003544.73-093044.8|  9.56971 |  -9.23758 |G|||||1|0|1|1|0|0|0
223|ABELL 0085:[SDG98] 0213|  9.57025 |  -9.36039 |G|||||1|0|0|0|0|0|0
224|ABELL 0085:[SDG98] 0214|  9.57033 |  -9.36611 |G|||||1|0|0|0|0|0|0
225|APMUKS(BJ) B003544.91-092503.1|  9.57058 |  -9.14275 |G|||||1|0|1|1|0|0|0
226|ABELL 0085:[SDG98] 0216|  9.57087 |  -9.84258 |G|||||1|0|0|0|0|0|0
227|APMUKS(BJ) B003545.77-084706.8|  9.57462 |  -8.51044 |G|||||1|0|1|1|0|0|0
228|ABELL 0085:[SDG98] 0218|  9.57475 |  -9.85731 |G|||||1|0|0|0|0|0|0
229|APMUKS(BJ) B003545.96-085636.8|  9.57529 |  -8.66869 |G|||||1|0|1|1|0|0|0
230|APMUKS(BJ) B003545.96-084458.4|  9.57546 |  -8.47478 |G|||||1|0|1|1|0|0|0
