Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J124957.87+051841.0  192.49113  +05.31141  0.0022  LateS    1.7   1.92    9.20    8.48  -0.046  -0.321  TO   4.27    72  40.60   7.88    9.64   +0.04   -16.42   
J125112.88+045132.5  192.80371  +04.85905  0.0251  EarlyS   9.3   2.33   11.08    9.23   0.077   0.077  AGN  6.63   129  43.00   9.45   11.32   -0.04   -19.98   
J133439.26+040747.8  203.66359  +04.12996  0.0229  LateS    9.3   2.11   10.62    8.21  -0.825  -0.345  SFG  7.59   109  42.68   9.27   10.85   +0.58   -19.2    
J133229.74+033543.8  203.12393  +03.59551  0.0349  EarlyS  10.7   2.50   10.78    9.41  -0.804  -0.363  SFG  7.32   149  42.73   9.72   10.53   +0.56   -18.02   
J084225.76+371315.7  130.60736  +37.22104  0.0129  EarlyS   5.0   3.11   10.77    9.27   0.183   0.187  AGN  6.41   164  42.62   9.37   10.61   -0.12   -18.25   
J100323.33+482157.0  150.84721  +48.36585  0.0247  EarlyS   8.0   2.63   10.81    9.71   0.354   0.208  AGN  6.32   155  42.89   9.61   10.92   -0.23   -19.02   
J120709.23+534017.2  181.78848  +53.67146  0.0590  EarlyS  21.9   2.71   11.37    9.94   0.363   0.316  AGN  6.92   217  43.48  10.27   11.46   -0.24   -20.37   
J121131.38+515148.5  182.88078  +51.86348  0.0295  LateS    9.8   2.30   10.63    8.87  -0.566  -0.435  SFG  6.66    98  42.54   9.28   10.79   +0.40   -19.06   
J080707.17+361400.4  121.77991  +36.23347  0.0323  EarlyS   8.8   2.80   11.17    9.16   0.911  -0.097  AGN  7.33   150  43.11   9.69   11.32   -0.62   -19.98   
J082519.66+391855.5  126.33192  +39.31544  0.0566  EarlyS  17.9   3.27   11.31    8.77  -0.434  -0.332  SFG  7.45   195  43.46  10.16   11.46   +0.31   -20.33   
J091455.67+465411.0  138.73197  +46.90308  0.0141  EarlyS   6.6   2.44   10.62    9.37  -0.391  -0.281  TO   6.39   107  42.10   9.04   10.75   +0.28   -18.57   
J095749.08+514916.2  149.45452  +51.82119  0.0249  LateS    6.9   1.97   10.63    8.81  -0.400  -0.260  TO   6.53    89  42.48   9.12   10.73   +0.29   -18.90   
J101715.98+532742.8  154.31662  +53.46190  0.0455  EarlyS  19.8   1.96   11.18    9.69   0.055   0.210  AGN  6.22   169  43.14   9.94   11.12   -0.03   -19.49   
J104438.23+562210.7  161.15930  +56.36967  0.0240  EarlyS   9.0   2.21   10.87    9.03  -0.482  -0.222  TO   7.28   151  42.66   9.57   10.87   +0.34   -18.86   
J142711.81-021544.6  216.79922  -02.26241  0.0238  LateS   13.3   1.94   10.87    9.59   0.283   0.020  AGN  5.93   120  42.66   9.36   10.84   -0.19   -19.18   
J145207.95-023147.0  223.03313  -02.52975  0.0065  LateS    3.5   2.01   10.19    8.29  -0.562  -0.413  SFG  6.11    92  41.85   8.57   10.16   +0.40   -17.72   
