PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J009.7549+40.5726 2949388 09.75492 40.57258   2.418880  0.000120
PSO J009.6297+40.5913 2954534 09.62967 40.59132   2.898927  0.000227
PSO J009.7713+40.6193 2961838 09.77131 40.61930   2.578290  0.000236
PSO J009.7049+40.6527 2970762 09.70494 40.65270   2.870860  0.000267
PSO J011.8211+42.5603 3012059 11.82109 42.56033   2.276419  0.000486
PSO J009.5582+40.1478 3238410 09.55816 40.14777   2.809272  0.001436
PSO J009.6700+40.1662 3242407 09.66996 40.16617   2.931092  0.001102
PSO J010.6315+41.4643  325602 10.63153 41.46425   2.847773  0.000146
PSO J009.4847+40.2625 3270410 09.48471 40.26254   2.770258  0.002166
PSO J009.7627+40.2866 3277511 09.76265 40.28661   2.423409  0.000170
PSO J009.6749+40.3415 3296752 09.67490 40.34148   2.481441  0.001419
PSO J009.8185+40.3541 3300476 09.81846 40.35406   2.520599  0.000827
PSO J009.5361+40.3515 3300638 09.53607 40.35155   2.667945  0.000575
PSO J009.7627+40.3570 3301674 09.76272 40.35704   2.775190  0.001186
PSO J009.7533+40.3721 3306221 09.75335 40.37205   2.741199  0.000517
PSO J009.4930+40.3730 3307187 09.49297 40.37305   2.316741  0.001789
PSO J009.4775+40.3816 3309075 09.47750 40.38155   2.096561  0.001227
PSO J009.8429+40.3991 3312109 09.84293 40.39914   2.375378  0.001780
PSO J010.4494+41.2670  404958 10.44942 41.26696   2.329178  0.000132
PSO J010.1640+41.0603  544952 10.16398 41.06025   2.692675  0.000276
PSO J010.0933+41.1229  563082 10.09325 41.12285   2.271964  0.000112
PSO J010.1018+41.1351  567418 10.10180 41.13513   2.214917  0.000099
PSO J010.3890+41.1782  582533 10.38902 41.17818   2.747139  0.000263
PSO J010.1223+41.1888  586762 10.12228 41.18878   2.264516  0.000103
PSO J010.1620+41.2066  592962 10.16203 41.20657   2.723253  0.000202
PSO J010.3334+41.2203  597279 10.33337 41.22030   2.827755  0.000261
PSO J010.1230+41.2590  610205 10.12299 41.25905   2.961626  0.000276
PSO J010.2076+41.2742  614741 10.20765 41.27419   2.163781  0.000113
PSO J010.3740+41.2824  616987 10.37401 41.28245   2.383731  0.000096
PSO J010.2952+41.3812  645967 10.29523 41.38123   2.903515  0.000240
PSO J010.3860+41.3862  647178 10.38600 41.38618   2.769931  0.000154
PSO J010.2788+41.3867  647422 10.27881 41.38669   2.682555  0.000228
PSO J009.8947+41.1782  672108 09.89475 41.17819   2.426467  0.000161
PSO J009.8334+41.2043  675680 09.83336 41.20427   2.234263  0.000109
PSO J011.6737+41.5777  793015 11.67365 41.57775   2.591244  0.000236
PSO J011.3401+41.6250  807130 11.34010 41.62496   2.966833  0.000296
PSO J011.4027+41.6703  823852 11.40265 41.67031   2.880475  0.000188
PSO J011.6707+41.6813  828675 11.67066 41.68133   2.875679  0.674499
PSO J011.6693+41.6974  834535 11.66931 41.69736   2.840939  0.000318
PSO J011.4495+41.7035  836290 11.44955 41.70350   2.591656  0.000152
PSO J010.9443+41.8014  926552 10.94433 41.80142   2.074881  0.000136
PSO J010.9933+41.8062  927544 10.99334 41.80618   2.658119  0.000439
PSO J011.3325+41.6987 1002157 11.33249 41.69866   3.852455  0.000380
PSO J011.3176+41.7869 1026441 11.31764 41.78687   3.834766  0.000344
PSO J011.0947+41.2968  103128 11.09470 41.29680   3.640010  0.000304
PSO J011.2176+41.4435 1037943 11.21764 41.44352   3.896625  0.000713
PSO J011.2153+41.4867 1046247 11.21535 41.48669   3.960194  0.000393
PSO J011.2661+41.5173 1054161 11.26613 41.51734   3.527211  0.000299
PSO J011.2725+41.5436 1060680 11.27249 41.54357   3.944916  0.000548
PSO J011.3428+41.5468 1061602 11.34285 41.54684   3.751222  0.000358
PSO J011.3236+41.6103 1078422 11.32360 41.61030   3.932180  1.298260
PSO J011.2232+41.6140 1079312 11.22318 41.61398   3.161181  0.000237
PSO J011.3287+41.6196 1080809 11.32875 41.61959   3.018538  0.000449
PSO J010.4108+41.4318 1114822 10.41077 41.43183   3.215261  0.000332
PSO J010.4815+41.5444 1132070 10.48150 41.54437   3.157876  0.000237
PSO J010.5114+41.5458 1132317 10.51140 41.54576   3.318304  0.000126
PSO J010.4396+41.5552 1134272 10.43956 41.55524   3.567097  0.000304
PSO J010.4939+41.5669 1136536 10.49388 41.56688   3.598901  0.000328
PSO J010.5706+41.5743 1137990 10.57062 41.57435   3.285135  0.000263
PSO J010.6177+41.6182 1146777 10.61771 41.61822   3.434871  0.000164
PSO J010.5351+41.6205 1147306 10.53511 41.62047   3.879886  0.000300
PSO J010.6537+41.6464 1153804 10.65366 41.64638   3.011043  0.000296
PSO J010.6835+41.6528 1155331 10.68351 41.65276   3.188283  0.000330
PSO J010.6803+41.6543 1155661 10.68028 41.65434   3.683385  0.000254
PSO J010.6750+41.6657 1157793 10.67501 41.66571   3.267208  0.000337
PSO J011.1194+41.3528  115893 11.11941 41.35281   3.431880  0.000306
PSO J010.7201+41.7012 1163420 10.72013 41.70118   3.878536  0.000322
PSO J010.6976+41.7105 1165078 10.69762 41.71049   3.272026  0.000344
PSO J010.7588+41.7134 1165609 10.75875 41.71345   3.079580  0.000210
PSO J010.6832+41.7140 1165748 10.68319 41.71399   3.173479  0.000278
PSO J010.7937+41.7253 1168024 10.79370 41.72526   3.048483  0.000284
PSO J010.8563+41.7305 1169049 10.85634 41.73054   3.284621  0.000304
